기관구분,자치구,행정동,행정동코드,시설명,도로명주소,위도,경도
의원,영등포구,양평1동,11190610.0,임이비인후과의원,"서울특별시 영등포구 영등포로 33, 306호 (양평동2가, 목동비즈타워)",37.523350907289945,126.88524074131506
의원,영등포구,양평1동,11190610.0,지디스치과의원,"서울특별시 영등포구 영등포로 33, 목동비즈타워 3층 303호 (양평동2가)",37.523350907289945,126.88524074131506
의원,영등포구,당산2동,11190560.0,바른한의원,서울특별시 영등포구 국회대로 553 (당산동4가),37.52854136927626,126.89611746341173
의원,영등포구,양평1동,11190610.0,전영완한의원,서울특별시 영등포구 영등포로 33 (양평동2가),37.523350907289945,126.88524074131506
의원,영등포구,여의동,11190540.0,서울란트치과의원,서울특별시 영등포구 국제금융로2길 37 (여의도동),37.52289850508568,126.92410039429949
의원,금천구,독산1동,11180520.0,연세세브란스치과의원,"서울특별시 금천구 시흥대로 427, 2층 (독산동)",37.471710222266246,126.89777162336982
의원,영등포구,문래동,11190760.0,영등포종도외과의원,"서울특별시 영등포구 경인로 729, 지하1,1,2층 (문래동2가)",37.512715662419566,126.89470039487652
의원,영등포구,신길3동,11190650.0,임흥각내과의원,"서울특별시 영등포구 도림로 312, 1, 2층 (신길동)",37.5055599483153,126.90252264771236
의원,영등포구,대림3동,11190720.0,참조은치과의원,"서울특별시 영등포구 대림로 157, 3층 (대림동, 일승빌딩)",37.49490897346374,126.89946505261018
의원,서초구,방배2동,11220630.0,연세뇌건강신경과의원,"서울특별시 서초구 동작대로 44, 은혜빌딩 202호 (방배동)",37.48039333844289,126.98220006116384
의원,영등포구,신길6동,11190680.0,권가정의학과의원,"서울특별시 영등포구 신풍로 28, 1층 132,133호 (신길동, 비스타동원)",37.4998139,126.9096029
의원,영등포구,신길1동,11190630.0,고태용이비인후과의원,"서울특별시 영등포구 도신로60길 2, 4층 (신길동)",37.51178684349387,126.91680241525307
의원,영등포구,영등포동,11190740.0,e-좋은치과의원,서울특별시 영등포구 영신로34길 1 (영등포동4가),37.52010917991211,126.9013863676216
의원,영등포구,영등포동,11190740.0,클린업피부과의원,"서울특별시 영등포구 영중로 35, 3층 (영등포동4가, 삼경빌딩)",37.51927212732833,126.90486066808276
의원,영등포구,문래동,11190760.0,밸런스가정의학과의원,"서울특별시 영등포구 당산로 42, 4층 (문래동3가, 삼성홈플러스)",37.51822700714796,126.89592407301704
의원,영등포구,문래동,11190760.0,서울플러스치과의원,서울특별시 영등포구 당산로 42 (문래동3가),37.51822700714796,126.89592407301704
의원,영등포구,여의동,11190540.0,화인한의원,"서울특별시 영등포구 국제금융로 86, 208호 (여의도동, 롯데캐슬아이비)",37.52019520957813,126.93174359192804
의원,영등포구,신길6동,11190680.0,서울우리내과의원,"서울특별시 영등포구 신풍로 113, 5,6,7층 (신길동, 시월빌딩)",37.50015423798098,126.9188401246248
