관리번호,설치목적구분,카메라대수,도로명주소,위도,경도,행정동코드,행정동,자치구,보정구분,보정거리_m
202630100000800028,생활방범,2,서울특별시 중구 동호로 8나길 15,37.55282,127.0126,11020710.0,약수동,중구,원본정상,
202630100000800029,생활방범,4,서울특별시 중구 다산로 24길 23 맞은편,37.55613,127.01636,11020720.0,청구동,중구,원본정상,
202630100000800030,생활방범,4,서울특별시 중구 다산로 24길 23 맞은편,37.55586,127.01629,11020720.0,청구동,중구,원본정상,
202630100000800031,생활방범,2,서울특별시 중구 퇴계로 36가길 60 앞,37.55782,126.99539,11020570.0,필동,중구,원본정상,
202630100000800759,생활방범,3,서울특별시 중구 다산로 11길 13,37.55473,127.00953,11020700.0,다산동,중구,원본정상,
202630100000800760,생활방범,3,서울특별시 중구 동호로 17길 105,37.55442,127.005,11020580.0,장충동,중구,원본정상,
202630100000800761,생활방범,3,서울특별시 중구 동호로17길 261,37.54922,127.00601,11020700.0,다산동,중구,원본정상,
202630100000800762,생활방범,4,서울특별시 중구 동호로17길 267-14,37.54982,127.00588,11020700.0,다산동,중구,원본정상,
202630100000800763,생활방범,2,서울특별시 중구  동호로11바길 35-2,37.55005,127.00576,11020700.0,다산동,중구,원본정상,
202630100000800764,생활방범,3,서울특별시 중구 다산로5길 12,37.54981,127.00684,11020700.0,다산동,중구,원본정상,
202630100000800765,생활방범,1,서울특별시 중구 다산로5길 12,37.5497,127.00663,11020700.0,다산동,중구,원본정상,
202630100000800766,생활방범,4,서울특별시 중구 동호로11길 108-2,37.55093,127.00709,11020700.0,다산동,중구,원본정상,
202630100000800767,생활방범,2,서울특별시 중구 다산로 165-9,37.55896,127.0123,11020700.0,다산동,중구,원본정상,
202630100000800768,생활방범,3,서울특별시 중구 동호로 11가길 36,37.55277,127.0079,11020700.0,다산동,중구,원본정상,
202630100000800769,생활방범,4,서울특별시 중구 동호로11길 22,37.5544,127.0099,11020700.0,다산동,중구,원본정상,
202630100000800770,생활방범,3,서울특별시 중구 동호로 11마길 11,37.55145,127.0065,11020700.0,다산동,중구,원본정상,
202630100000800771,생활방범,4,서울특별시 중구 동호로 14길 5-10,37.55646,127.0099,11020700.0,다산동,중구,원본정상,
202630100000800772,생활방범,4,서울특별시 중구 동호로 15길 35,37.55506,127.0086,11020700.0,다산동,중구,원본정상,
202630100000800201,생활방범,4,서울특별시 중구 만리재로35길 12 (만리동1가),37.55581,126.96758,11020680.0,중림동,중구,원본정상,
202630100000800202,생활방범,4,서울특별시 중구 중림로 2-1 (중림동),37.55912,126.9638,11020680.0,중림동,중구,원본정상,
202630100000800372,시설물관리,1,서울특별시 중구 동호로30길 2 (장충동2가 ),37.5608,127.00308,11020580.0,장충동,중구,원본정상,
